dimension,term,building_count,building_ratio,occurrence_count
建筑功能,休憩设施,2,0.004878,2
建筑功能,住宅园林,2,0.004878,2
建筑功能,佛堂,2,0.004878,2
建筑功能,全国重点文物保护单位,2,0.004878,2
建筑功能,公路桥,2,0.004878,2
建筑功能,军事要冲,2,0.004878,2
建筑功能,厢房,2,0.004878,2
建筑功能,古驿道桥梁,2,0.004878,2
建筑功能,司马第,2,0.004878,2
建筑功能,城门楼,2,0.004878,2
建筑功能,堂楼,2,0.004878,2
建筑功能,墓葬,2,0.004878,2
建筑功能,备弄,2,0.004878,2
建筑功能,大堂,2,0.004878,2
建筑功能,宅第,2,0.004878,2
建筑功能,宅院,2,0.004878,2
建筑功能,官署,2,0.004878,2
建筑功能,官邸,2,0.004878,2
建筑功能,家宅,2,0.004878,2
建筑功能,家族宅第,2,0.004878,2
建筑功能,家祠,2,0.004878,2
建筑功能,尚书第,2,0.004878,2
建筑功能,居住功能,2,0.004878,2
建筑功能,居所,2,0.004878,2
建筑功能,展览馆,2,0.004878,2
建筑功能,廊桥,2,0.004878,2
建筑功能,戏楼,2,0.004878,2
建筑功能,报时,2,0.004878,2
建筑功能,报时建筑,2,0.004878,2
建筑功能,报时设施,2,0.004878,2
建筑功能,政教中心,2,0.004878,2
建筑功能,文庙,2,0.004878,2
建筑功能,文物保护单位,2,0.004878,2
建筑功能,旅游景区,2,0.004878,2
建筑功能,正堂,2,0.004878,2
建筑功能,水利设施,2,0.004878,2
建筑功能,河道跨越,2,0.004878,2
建筑功能,泄洪,2,0.004878,2
建筑功能,泄洪通道,2,0.004878,2
建筑功能,灌溉,2,0.004878,2
建筑功能,照壁,2,0.004878,2
建筑功能,牲畜圈养,2,0.004878,2
建筑功能,破冰防凌,2,0.004878,2
建筑功能,祭祀,2,0.004878,2
建筑功能,祭祖空间,2,0.004878,2
建筑功能,纤道,2,0.004878,2
建筑功能,纪念馆,2,0.004878,2
建筑功能,聚族而居,2,0.004878,2
建筑功能,藏书,2,0.004878,2
建筑功能,藏书阁,2,0.004878,2
建筑功能,藏兵洞,2,0.004878,2
建筑功能,读书楼,2,0.004878,2
建筑功能,谯楼,2,0.004878,2
建筑功能,跨河交通,2,0.004878,2
建筑功能,通行功能,2,0.004878,2
建筑功能,遮风挡雨,2,0.004878,2
建筑功能,钟鼓楼,2,0.004878,2
建筑功能,门厅,2,0.004878,2
建筑功能,门楼,2,0.004878,2
建筑功能,防御性住宅,2,0.004878,2
建筑功能,防御设施,2,0.004878,2
建筑功能,防洪,2,0.004878,2
建筑功能,陈列展示,2,0.004878,2
建筑材料,出砖入石,2,0.004878,2
建筑材料,卵石,2,0.004878,2
建筑材料,土,2,0.004878,2
建筑材料,土坯,2,0.004878,2
建筑材料,城砖,2,0.004878,2
建筑材料,填土,2,0.004878,2
建筑材料,夯土墙,2,0.004878,2
建筑材料,彩绘,2,0.004878,2
建筑材料,彩绘壁画,2,0.004878,2
建筑材料,拱券石,2,0.004878,2
建筑材料,方石,2,0.004878,2
建筑材料,条形方石,2,0.004878,2
建筑材料,武康石,2,0.004878,2
建筑材料,清水墙,2,0.004878,2
建筑材料,湖石,2,0.004878,2
建筑材料,灰瓦屋面,2,0.004878,2
建筑材料,灰砖,2,0.004878,2
建筑材料,片石,2,0.004878,2
建筑材料,石城,2,0.004878,2
建筑材料,石墩,2,0.004878,2
建筑材料,石室,2,0.004878,2
建筑材料,石拱,2,0.004878,2
建筑材料,石柱,2,0.004878,2
建筑材料,石灰岩,2,0.004878,2
建筑材料,石灰砂浆,2,0.004878,2
建筑材料,砖瓦,2,0.004878,2
建筑材料,红砂岩,2,0.004878,2
建筑材料,绿琉璃剪边,2,0.004878,2
建筑材料,茅草,2,0.004878,2
建筑材料,金漆木雕,2,0.004878,2
建筑材料,铁,2,0.004878,2
建筑材料,铁链,2,0.004878,2
建筑材料,铜,2,0.004878,2
建筑材料,铸铁,2,0.004878,2
建筑材料,长方巨石,2,0.004878,2
建筑材料,青石条,2,0.004878,2
建筑材料,鹅卵石,2,0.004878,2
建筑材料,黑琉璃瓦,2,0.004878,2
建筑材料,黛瓦,2,0.004878,2
建筑空间布局,一正两厢,2,0.004878,2
建筑空间布局,三合院,2,0.004878,2
建筑空间布局,三坊一照壁,2,0.004878,2
建筑空间布局,三开间,2,0.004878,2
建筑空间布局,三条轴线,2,0.004878,2
建筑空间布局,三进四合院,2,0.004878,2
建筑空间布局,上堂下堂,2,0.004878,2
建筑空间布局,不对称布局,2,0.004878,2
建筑空间布局,东西横跨,2,0.004878,2
建筑空间布局,九间廊屋,2,0.004878,2
建筑空间布局,五进院落,2,0.004878,2
建筑空间布局,依山临水,2,0.004878,2
建筑空间布局,依山傍水,2,0.004878,2
建筑空间布局,六进院落,2,0.004878,2
建筑空间布局,分散式布局,2,0.004878,2
建筑空间布局,前后五进,2,0.004878,2
建筑空间布局,前堂后寝,2,0.004878,2
建筑空间布局,前宅后园,2,0.004878,2
建筑空间布局,前朝后寝,2,0.004878,2
建筑空间布局,南北轴线,2,0.004878,2
建筑空间布局,厢房,2,0.004878,2
建筑空间布局,双轴线布局,2,0.004878,2
建筑空间布局,合院式,2,0.004878,2
建筑空间布局,吊脚楼群,2,0.004878,2
建筑空间布局,后罩房,2,0.004878,2
建筑空间布局,品字形布局,2,0.004878,2
建筑空间布局,四合五天井,2,0.004878,2
建筑空间布局,四合院格局,2,0.004878,2
建筑空间布局,回廊,2,0.004878,2
建筑空间布局,回廊连接,2,0.004878,2
建筑空间布局,园林式布局,2,0.004878,2
建筑空间布局,围院式布局,2,0.004878,2
建筑空间布局,坐东北朝西南,2,0.004878,2
建筑空间布局,坐西向东,2,0.004878,2
建筑空间布局,多孔连拱,2,0.004878,2
建筑空间布局,多进建筑,2,0.004878,2
建筑空间布局,多进院落布局,2,0.004878,2
